RHOB,GR,NPHI,PEF,DTC,cluster
-1.218598,-0.581512,1.226271,-1.195087,0.839364,0
-1.213254,-0.514962,1.131638,-1.211769,0.841267,0
-1.187479,-0.461114,0.934923,-1.233817,0.843285,0
-1.302648,-0.370790,0.709632,-1.264118,0.839473,0
-1.567356,-0.430380,0.608445,-1.313309,0.839231,0
-1.870326,-0.390770,0.619138,-1.367762,0.843287,0
-1.982440,-0.454784,0.779695,-1.387513,0.843285,0
-1.964974,-0.410541,1.009836,-1.414615,0.839557,0
-1.904808,-0.402117,0.960829,-1.471809,0.839147,0
-2.058602,-0.495593,0.932236,-1.510467,0.843287,0
-2.297723,-0.575834,1.029789,-1.491499,0.843285,0
-2.327015,-0.583953,1.293355,-1.431460,0.839637,0
-2.173469,-0.437269,1.390252,-1.396309,0.839067,0
-2.004217,-0.395772,1.430823,-1.403962,0.843288,0
-1.911378,-0.375880,1.288110,-1.388615,0.839675,0
-1.883533,-0.375320,1.133803,-1.379292,0.839003,0
-1.764204,-0.250532,0.900240,-1.351503,0.843288,0
-1.749072,-0.252633,0.782384,-1.386394,0.843284,0
-1.788429,-0.218528,0.756491,-1.382514,0.839784,0
-1.898215,-0.316743,0.620090,-1.388036,0.838919,0
-1.939751,-0.370121,0.531945,-1.313996,0.843289,0
-1.867567,-0.529168,0.888515,-1.266841,0.843283,0
-1.653171,-0.631416,1.233267,-1.279594,0.839868,0
-1.529319,-0.640768,1.358112,-1.308601,0.838836,0
-1.512067,-0.629914,1.158937,-1.320646,0.843289,0
-1.595900,-0.637978,1.002291,-1.339187,0.841581,0
-1.594859,-0.668219,1.117572,-1.384764,0.841009,0
-1.662922,-0.700265,1.299634,-1.413216,0.841602,0
-1.771938,-0.747868,1.546685,-1.413364,0.839360,0
-1.892951,-0.812223,1.803654,-1.418075,0.837730,0
-1.932852,-0.774571,1.739333,-1.445638,0.835438,0
-2.030141,-0.595125,1.591900,-1.465553,0.835447,0
-2.105932,-0.439625,1.337702,-1.420042,0.838650,0
-2.006579,-0.293085,1.249117,-1.335366,0.840095,0
-1.831773,-0.311316,1.150659,-1.302351,0.835437,0
-1.657957,-0.320632,1.211809,-1.324774,0.835447,0
-1.698009,-0.273640,1.090782,-1.355627,0.838566,0
-1.668644,-0.102035,1.015041,-1.317594,0.840176,0
-1.677792,-0.046116,0.808073,-1.098974,0.835436,0
-1.670329,-0.147672,0.895728,-0.859587,0.835448,0
-1.692514,-0.313197,1.016731,-0.422700,0.836941,0
-1.669339,-0.306896,1.167729,0.331566,0.839358,0
-1.616639,-0.282804,0.983886,1.253728,0.839370,2
-1.587338,-0.251608,1.006442,1.720013,0.836367,2
-1.645155,-0.167779,0.750358,1.409326,0.834499,2
-1.712397,-0.102247,0.680720,0.806383,0.839357,2
-1.589024,-0.066497,0.693182,0.203885,0.839371,0
-1.595484,-0.033680,0.794082,-0.424802,0.836447,0
-1.612684,-0.056542,0.784427,-0.874197,0.834420,0
-1.606177,-0.072957,0.689904,-1.079921,0.839357,0
-1.592220,-0.136780,0.826409,-1.079290,0.839371,0
-1.608318,-0.153843,1.071461,-1.042880,0.837924,0
-1.629562,-0.265179,1.189288,-1.034198,0.836819,0
-1.629081,-0.454976,1.427464,-1.059497,0.837944,0
-1.678234,-0.583112,1.732064,-0.943879,0.835434,0
-1.822894,-0.555902,1.623868,-0.582430,0.835450,0
-1.961700,-0.393830,1.273636,-0.079745,0.838157,0
-1.954328,-0.278281,0.823294,0.091555,0.840589,0
-1.773290,-0.327970,0.632101,-0.211663,0.835434,0
-1.574753,-0.366689,0.561595,-0.538514,0.835450,0
-1.468072,-0.307489,0.527190,-0.643241,0.838073,0
-1.520737,-0.195088,0.428746,-0.526450,0.840673,0
-1.655126,0.002176,0.448165,-0.354722,0.835433,0
-1.816979,0.183464,0.466592,-0.222506,0.835451,0
-1.933029,0.293007,0.684933,-0.198349,0.836713,0
-2.019546,0.205030,0.891651,0.015184,0.839373,0
-2.046323,-0.100407,1.269045,0.267028,0.838079,0
-2.010840,-0.169269,1.590675,0.055872,0.835432,0
-1.864585,-0.135241,1.371519,-0.311726,0.835452,0
-1.678713,-0.003798,1.081503,-0.442477,0.837888,0
-1.566076,0.065979,0.909611,-0.192938,0.840859,0
-1.560300,-0.020671,1.058022,0.104074,0.836623,0
-1.573201,0.023996,0.922170,0.085257,0.835747,0
-1.579270,-0.048040,0.750531,-0.137585,0.829959,0
-1.575115,0.045908,0.944012,-0.329792,0.835453,0
-1.618062,0.149069,1.141735,-0.424675,0.835431,0
-1.687242,0.301121,1.290808,-0.459458,0.833138,0
-1.720119,0.317414,1.087462,-0.500523,0.829877,0
-1.690891,0.304160,1.004025,-0.596312,0.835453,0
-1.601784,0.226066,0.768031,-0.784249,0.834290,0
-1.519486,0.282410,0.664225,-0.926857,0.831508,0
-1.470505,0.344694,0.705382,-0.932215,0.833743,0
-1.478448,0.322805,0.868741,-0.825608,0.837164,0
-1.512131,0.300917,0.894524,-0.696658,0.831533,0
-1.508263,0.221818,0.993248,-0.682138,0.831507,0
-1.459345,0.264979,0.881120,-0.711879,0.833660,0
-1.379480,0.252913,0.626366,-0.784224,0.837247,0
-1.311200,0.236284,0.347290,-0.900957,0.831534,0
-1.306383,0.320435,0.255887,-1.002936,0.831506,0
-1.309052,0.344328,0.493530,-1.053061,0.833582,0
-1.324284,0.322240,0.605669,-1.023956,0.836301,0
-1.277619,0.207409,0.893598,-1.004987,0.830577,0
-1.246315,0.123284,0.860458,-0.975227,0.837355,0
-1.236623,0.053066,0.603220,-0.950384,0.831506,0
-1.280255,0.072339,0.435005,-0.905584,0.833477,0
-1.262856,0.196236,0.485330,-0.876134,0.837430,0
-1.158819,0.224692,0.593144,-0.828913,0.831535,0
-1.044104,0.193473,0.593037,-0.766187,0.831505,0
-1.074641,0.190167,0.530930,-0.734898,0.833394,0
-1.269153,0.110176,0.432096,-0.810830,0.837513,0
-1.440929,-0.107589,0.279128,-0.930117,0.831536,0
-1.492839,-0.260258,0.374843,-0.998399,0.831504,0
-1.373874,-0.259753,0.662664,-0.987027,0.833311,0
-1.261955,-0.008441,0.983192,-0.987619,0.836702,0
-1.236370,0.065214,0.938650,-1.014047,0.829318,0
-1.282610,0.004027,0.512881,-0.998750,0.835457,0
-1.279690,-0.038338,0.263580,-0.917313,0.835427,0
-1.218747,-0.094602,0.463585,-0.813528,0.833783,0
-1.172262,-0.069142,0.867051,-0.789747,0.829234,0
-1.178792,-0.224331,1.178333,-0.815462,0.835457,0
-1.169945,-0.125893,1.198573,-0.821087,0.834609,0
-1.133202,-0.060212,1.076349,-0.746162,0.832286,0
-1.083716,0.201632,0.859732,-0.632621,0.835426,0
-1.072818,0.015207,0.760983,-0.600592,0.833910,0
-1.091141,0.147073,0.712978,-0.698747,0.829108,0
-1.114289,-0.063477,0.599684,-0.788721,0.835458,0
-1.125738,0.023748,0.514676,-0.764951,0.834671,0
-1.104283,-0.144980,0.781978,-0.673300,0.830032,0
-1.024622,-0.119628,0.802665,-0.631696,0.822247,0
-0.955873,-0.263311,0.583221,-0.682407,0.812954,0
-0.942222,-0.428786,0.296568,-0.671926,0.798764,0
-0.942501,-0.592690,0.138412,-0.516566,0.790191,0
-0.955431,-0.611294,0.052389,-0.330729,0.779882,0
-0.989578,-0.554600,0.053000,-0.193299,0.779266,0
-1.056807,-0.607273,0.204927,0.116394,0.789684,0
-1.092164,-0.571985,0.175168,0.893777,0.775926,2
-1.073858,-0.785638,0.089599,2.643848,0.772083,2
-1.011405,-0.947933,0.043102,3.885967,0.765578,2
-0.931803,-1.090296,0.178480,4.424076,0.746102,2
-0.859571,-0.987829,0.139808,4.784331,0.731919,2
-0.822670,-0.905271,-0.016483,4.920992,0.747571,2
-0.832117,-0.934029,-0.149938,4.755700,0.764405,2
-0.861058,-1.029152,-0.089661,4.598675,0.784422,2
-0.872000,-1.041257,0.025821,4.309306,0.785627,2
-0.871690,-1.094314,0.102686,4.230943,0.789471,2
-0.853678,-1.104506,0.130204,4.228698,0.775466,2
-0.844320,-0.975585,0.139269,4.690137,0.796574,2
-0.857536,-0.863094,0.219579,5.014479,0.831606,2
-0.908447,-0.781713,0.216406,5.301251,0.885089,2
-0.979654,-0.823686,0.219058,5.340499,0.901106,2
-1.009256,-0.858772,0.288861,5.094589,0.891292,2
-0.989740,-0.889874,0.399546,4.480648,0.863952,2
-0.926602,-0.996888,0.332229,3.899522,0.812460,2
-0.841497,-1.025617,0.160654,3.378047,0.787409,2
-0.763450,-0.976704,0.043725,3.269866,0.782849,2
-0.734121,-0.915395,0.005201,3.190301,0.801896,2
-0.779047,-0.868664,0.064275,3.405098,0.817597,2
-0.844535,-0.860422,0.035341,3.704438,0.833199,2
-0.889166,-0.924189,0.059449,4.071877,0.848883,2
-0.921678,-1.074580,-0.016627,4.805903,0.864504,2
-0.963368,-1.081001,0.045981,5.408234,0.880561,2
-1.006406,-0.936091,0.196996,5.912155,0.899348,2
-1.031041,-0.844618,0.388913,5.929353,0.910332,2
-1.052631,-0.854795,0.416130,5.981139,0.913527,2
-1.078619,-0.911941,0.376707,6.405030,0.909960,2
-1.128721,-0.823444,0.345362,6.983112,0.910308,2
-1.176843,-0.884664,0.460951,7.185122,0.913229,2
-1.203762,-0.891754,0.442825,7.201716,0.906687,2
-1.204007,-0.879261,0.354768,7.133946,0.913577,2
-1.207099,-0.816927,0.300722,7.218123,0.909659,2
-1.220476,-0.864081,0.278147,7.154531,0.906335,2
-1.252318,-0.951351,0.349795,6.888410,0.910240,2
-1.284318,-0.979892,0.384779,6.355570,0.913619,2
-1.317423,-0.982932,0.503677,5.866772,0.909960,2
-1.330534,-0.995350,0.774911,5.658409,0.909965,2
-1.301692,-0.986460,0.835655,5.698956,0.910198,2
-1.259115,-0.945968,0.749671,5.983467,0.913661,2
-1.223236,-0.969587,0.573984,6.203066,0.909742,2
-1.231700,-1.050601,0.649415,6.141317,0.906461,2
-1.264576,-1.095947,0.776105,6.000606,0.913693,2
-1.298610,-1.034111,0.697281,5.783796,0.909771,2
-1.333121,-1.001740,0.463425,5.766051,0.906401,2
-1.356175,-0.985827,0.375991,5.699555,0.913881,2
-1.367738,-1.110125,0.655753,5.752074,0.913733,2
-1.375648,-1.126873,1.038536,5.804132,0.909813,2
-1.395205,-1.110737,1.235413,5.637227,0.906181,2
-1.420385,-1.060697,1.068100,5.538783,0.909960,2
-1.434519,-0.998537,0.983470,5.671560,0.909972,2
-1.434121,-0.991253,0.939591,5.904647,0.910064,2
-1.462160,-0.939478,0.990117,5.596383,0.913795,2
-1.512516,-0.921637,0.963137,5.290563,0.909959,2
-1.552126,-0.924225,1.088295,5.360095,0.910040,2
-1.562281,-0.968582,1.026883,5.721759,0.913828,2
-1.548386,-1.039004,0.756551,5.601113,0.909905,2
-1.535656,-1.137616,0.511350,5.024654,0.906179,2
-1.550868,-1.133290,0.791699,4.683255,0.917766,2
-1.583819,-1.043906,1.170792,4.601540,0.913867,2
-1.605795,-1.001674,1.252468,4.696335,0.909971,2
-1.604658,-1.072843,1.059553,4.824400,0.913894,2
-1.610166,-1.124733,0.864816,4.990703,0.917791,2
-1.607482,-1.079234,0.978160,5.171587,0.913908,2
-1.540534,-1.047696,0.988012,5.160072,0.913880,2
-1.417048,-1.140311,0.936788,5.049415,0.913891,2
-1.341702,-1.146939,0.865716,4.961881,0.917749,2
-1.373579,-1.101808,0.800344,4.807500,0.913949,2
-1.469565,-1.005180,0.775663,4.741384,0.911960,2
-1.557036,-1.088258,0.701986,4.697492,0.909999,2
-1.584192,-1.053057,0.653339,5.044652,0.917641,2
-1.558663,-1.003245,0.636318,5.425718,0.910161,2
-1.511009,-0.944472,0.521917,5.609193,0.913781,2
-1.500613,-1.004526,0.503141,5.387229,0.917679,2
-1.536980,-1.116497,0.474716,4.841686,0.917812,2
-1.596750,-1.076515,0.553102,4.489407,0.910244,2
-1.671688,-1.011941,0.726858,4.421971,0.913739,2
-1.744603,-0.966773,1.028557,4.483770,0.917637,2
-1.786389,-1.025470,1.190601,4.390214,0.914062,2
-1.791068,-1.049455,1.340014,4.102066,0.912017,2
-1.801154,-1.038565,1.323337,3.824546,0.910056,2
-1.860081,-1.030226,1.361345,3.672318,0.913685,2
-1.937921,-1.088420,1.275823,3.556976,0.917586,2
-1.962706,-1.148391,1.153231,3.535071,0.914116,2
-1.934045,-1.142588,1.027779,3.537527,0.910195,2
-1.912835,-1.090676,1.045118,3.508606,0.917325,2
-1.958587,-1.059323,1.176767,3.471912,0.917801,2
-2.035101,-1.064016,1.506417,3.485887,0.914154,2
-2.068667,-1.002592,1.536080,3.640804,0.910236,2
-2.036965,-1.026818,1.600526,3.731110,0.913605,2
-1.992156,-1.098811,1.520378,3.704827,0.917503,2
-1.979604,-1.177603,1.427783,3.597473,0.914196,2
-2.000308,-1.160789,1.330804,3.569642,0.915688,2
-2.014755,-1.153534,1.241159,3.678468,0.917637,2
-1.991133,-1.193429,1.083355,3.906592,0.914228,2
-1.915893,-1.218755,0.888451,3.930411,0.917453,2
-1.831878,-1.165696,0.769930,3.416519,0.921392,2
-1.843064,-1.170447,0.777533,2.772190,0.918171,2
-1.954139,-1.204073,0.703322,2.457796,0.921359,2
-2.038576,-1.211977,0.595724,2.623540,0.918190,2
-1.980140,-1.175731,0.494352,2.849396,0.914288,2
-1.807069,-1.041345,0.576035,2.965950,0.917391,2
-1.676994,-1.000638,0.750574,3.076932,0.921317,2
-1.671165,-1.008991,0.990940,3.306180,0.918232,2
-1.732358,-1.112686,1.073580,3.384017,0.914329,2
-1.782574,-1.145483,1.171376,3.187906,0.920834,2
-1.796098,-1.101440,1.138756,2.848314,0.918263,2
-1.796342,-1.034904,0.937065,2.626104,0.914362,2
-1.806093,-1.053960,0.812514,2.516335,0.917320,2
-1.820842,-1.100337,0.904071,2.232104,0.921257,2
-1.805886,-1.106577,1.048426,1.929893,0.918306,2
-1.737215,-1.043747,1.010598,1.911086,0.921222,2
-1.640332,-0.991688,0.952232,2.264867,0.918325,2
-1.554226,-1.012250,1.083721,2.517210,0.914421,2
-1.548944,-1.083767,1.344990,2.482139,0.917258,2
-1.662412,-1.111212,1.469157,2.387106,0.921182,2
-1.801067,-1.005992,1.511166,2.243904,0.918366,2
-1.821163,-0.812496,1.456286,1.938993,0.914463,2
-1.663158,-0.765940,1.376093,1.516956,0.920566,2
-1.451153,-0.817034,1.417493,1.121692,0.918397,2
-1.309912,-0.786554,1.431961,0.858441,0.914495,2
-1.254514,-0.606957,1.362473,0.738416,0.917186,2
-1.252871,-0.470400,1.176061,0.700491,0.924403,0
-1.270175,-0.462125,0.938970,0.628690,0.919075,0
-1.273545,-0.437290,0.615041,0.487953,0.914536,0
-1.229351,-0.333907,0.067202,0.370832,0.917144,0
-1.170478,-0.275884,-0.501381,0.443870,0.921069,0
-1.137842,-0.319851,-0.783338,0.838015,0.918480,0
-1.147491,-0.420706,-0.674797,1.336267,0.914575,2
-1.176219,-0.510762,-0.353869,1.584693,0.920340,2
-1.188763,-0.572174,-0.021306,1.557329,0.922804,2
-1.177242,-0.656805,0.317285,1.549802,0.924103,2
-1.161725,-0.724035,0.526466,1.520008,0.925401,2
-1.155545,-0.789049,0.514721,1.162666,0.922475,2
-1.155162,-0.799343,0.358411,0.606840,0.918552,0
-1.157727,-0.745563,0.245180,0.213380,0.920974,0
-1.166989,-0.627914,0.225417,0.118867,0.924876,0
-1.171659,-0.557858,0.284222,0.159127,0.925656,0
-1.149781,-0.533757,0.467447,0.051938,0.919385,0
-1.107588,-0.535940,0.661189,-0.263260,0.920934,0
-1.066326,-0.626601,0.598805,-0.522610,0.924835,0
-1.044886,-0.763453,0.279566,-0.498460,0.922555,0
-1.048485,-0.854679,0.191897,-0.283714,0.920962,0
-1.063965,-0.805132,0.460116,-0.138739,0.919980,0
-1.061788,-0.733155,0.711643,-0.235769,0.918998,0
-1.038584,-0.717584,0.666203,-0.404603,0.918016,0
-1.023715,-0.714457,0.415796,-0.427083,0.920860,0
-1.037689,-0.644992,0.277567,-0.313120,0.924764,0
-1.069408,-0.553812,0.290138,-0.226034,0.922628,0
-1.094095,-0.475664,0.426171,-0.349587,0.918707,0
-1.101849,-0.434996,0.578389,-0.618831,0.920821,0
-1.101196,-0.406503,0.614747,-0.831380,0.924725,0
-1.099521,-0.382270,0.515306,-0.917575,0.922667,0
-1.096275,-0.357597,0.433730,-0.924177,0.918746,0
-1.088824,-0.339077,0.607174,-0.894189,0.920780,0
-1.083798,-0.386940,0.826355,-0.840384,0.927640,0
-1.123879,-0.494905,0.837158,-0.682516,0.923683,0
-1.211734,-0.620523,0.682489,-0.405908,0.920264,0
-1.289040,-0.694195,0.559374,-0.172452,0.918300,0
-1.298095,-0.751663,0.537219,-0.212321,0.920728,0
-1.240076,-0.784134,0.472810,-0.426061,0.924631,0
-1.187685,-0.760613,0.287687,-0.488623,0.922759,0
-1.182703,-0.696253,0.126046,-0.388314,0.922696,0
-1.191919,-0.700377,0.128989,-0.234334,0.923994,0
-1.173656,-0.637072,0.421687,-0.049076,0.925293,0
-1.141441,-0.529203,0.820085,0.217670,0.922800,0
-1.137598,-0.407108,0.856160,0.426942,0.924571,0
-1.170501,-0.429790,0.614065,0.426369,0.928492,0
-1.207297,-0.538866,0.444042,0.253351,0.926746,0
-1.226088,-0.494301,0.542628,0.005857,0.922842,0
-1.219799,-0.322451,0.663682,-0.229987,0.927348,0
-1.185594,-0.154139,0.566911,-0.450696,0.926778,0
-1.123144,-0.082442,0.469133,-0.631912,0.922872,0
-1.024719,-0.110627,0.530360,-0.765217,0.924498,0
-0.923759,-0.226473,0.621516,-0.795716,0.928419,0
-0.867595,-0.304840,0.721667,-0.722392,0.924081,0
-0.868759,-0.315518,0.810558,-0.634082,0.927223,0
-0.914400,-0.265753,0.838586,-0.570213,0.929569,0
-0.974128,-0.276714,0.821859,-0.477519,0.924133,0
-1.018396,-0.310707,0.725728,-0.262482,0.924438,0
-1.089563,-0.276712,0.706849,-0.078148,0.928357,0
-1.131537,-0.237780,0.679449,-0.174498,0.924202,0
-1.165267,-0.272700,0.623899,-0.333593,0.924406,0
-1.182785,-0.290744,0.550202,-0.393436,0.928327,0
-1.174770,-0.353722,0.574294,-0.391690,0.926913,0
-1.131846,-0.440276,0.602257,-0.433323,0.923005,0
-1.055349,-0.528700,0.506980,-0.537022,0.924364,0
-0.997305,-0.536956,0.250657,-0.588690,0.928284,0
-0.996253,-0.374662,-0.017956,-0.623774,0.924349,0
-1.051705,-0.234858,-0.092314,-0.733310,0.926954,0
-1.144349,-0.194100,0.072020,-0.867987,0.926976,0
-1.254401,-0.219333,0.392519,-0.984533,0.923068,0
-1.363966,-0.200404,0.760551,-1.039789,0.924304,0
-1.443318,-0.104950,0.936110,-1.048906,0.928223,0
-1.454866,-0.058549,0.939298,-1.047606,0.924469,0
-1.392020,-0.028231,0.786713,-1.031508,0.924273,0
-1.311964,-0.009348,0.657860,-0.992538,0.928192,0
-1.289598,0.013239,0.622134,-0.930445,0.927047,0
-1.332867,-0.055989,0.784763,-0.872059,0.923139,0
-1.395208,-0.130860,0.903057,-0.876712,0.924231,0
-1.434566,-0.125235,0.918251,-0.915234,0.928150,0
-1.440306,-0.099191,0.810786,-0.938256,0.927089,0
-1.405593,0.024057,0.678631,-0.932664,0.928129,0
-1.357861,-0.062117,0.561871,-0.949380,0.932033,0
-1.351006,-0.039433,0.474617,-1.023824,0.931046,0
-1.424039,-0.085196,0.485163,-1.068792,0.927129,0
-1.544684,-0.051105,0.640186,-1.051958,0.928089,0
-1.621955,-0.119184,0.828633,-1.013775,0.932008,0
-1.624822,-0.213850,1.023737,-1.002043,0.931095,0
-1.588798,-0.197320,1.009270,-1.011589,0.930779,0
-1.602704,-0.259185,0.891143,-1.011214,0.932723,0
-1.667540,-0.325411,0.746376,-1.000956,0.931117,0
-1.730094,-0.362572,0.768284,-0.980587,0.927202,0
-1.749350,-0.325636,1.000207,-0.918825,0.928015,0
-1.694971,-0.367583,1.060788,-0.816507,0.931921,0
-1.582906,-0.446447,0.913379,-0.728586,0.931159,0
-1.462093,-0.458935,0.780213,-0.743618,0.927245,0
-1.445129,-0.394392,0.782121,-0.870540,0.927974,0
-1.553691,-0.372982,0.958294,-0.998151,0.931882,0
-1.702076,-0.280703,0.977470,-1.087243,0.931199,0
-1.795106,-0.185280,0.957454,-1.119016,0.928435,0
-1.819521,-0.182530,0.818523,-1.082365,0.926469,0
-1.789422,-0.263005,0.644202,-0.968111,0.927923,0
-1.715451,-0.330602,0.644279,-0.870344,0.931829,0
-1.620520,-0.297612,0.825163,-0.875775,0.931250,0
-1.533899,-0.305605,0.950387,-0.934610,0.927337,0
-1.499148,-0.184608,0.830212,-0.962411,0.927881,0
-1.483600,-0.101796,0.638238,-0.977574,0.930320,0
-1.475486,-0.130802,0.644818,-1.029041,0.931615,0
-1.461906,-0.254480,0.615719,-1.091674,0.932912,0
-1.503398,-0.346566,0.552990,-1.114023,0.931312,0
-1.593359,-0.313809,0.581970,-1.092578,0.927398,0
-1.672841,-0.264148,0.689587,-1.027935,0.927819,0
-1.674784,-0.194250,0.624007,-0.994473,0.930656,0
-1.634298,-0.120846,0.490493,-1.006581,0.932600,0
-1.618866,-0.052556,0.652741,-1.062473,0.931362,0
-1.648210,0.040950,1.126210,-1.069187,0.931696,0
-1.670894,-0.060201,1.323884,-1.035793,0.931383,0
-1.652141,-0.081262,1.292897,-0.961878,0.931676,0
-1.617845,-0.114770,1.093724,-0.915893,0.935591,0
