RHOB,GR,DEPTH_MD,NPHI,PEF,DTC,cluster
-1.389144,-0.053054,1151.320000,0.606953,-1.286996,0.843288,0
-1.404382,-0.170772,1151.472000,0.364076,-1.290660,0.843284,0
-1.414512,-0.341390,1151.624000,0.481341,-1.275700,0.847573,0
-1.432310,-0.358985,1151.776000,0.704245,-1.264111,0.846864,0
-1.414567,-0.327370,1151.928000,0.981793,-1.274562,0.843288,0
-1.392331,-0.132813,1152.080000,1.141398,-1.300340,0.843284,0
-1.443707,-0.154397,1152.232000,1.177064,-1.317560,0.841187,0
-1.502659,-0.064605,1152.384000,1.243591,-1.300114,0.843550,0
-1.513054,-0.039615,1152.536000,1.162905,-1.282987,0.840940,0
-1.440324,0.102376,1152.688000,1.130313,-1.281340,0.841633,0
-1.391632,0.002121,1152.840000,1.039296,-1.301861,0.841002,0
-1.425126,-0.057589,1152.992000,1.051374,-1.315005,0.839542,0
-1.500229,-0.088943,1153.144000,1.013748,-1.307534,0.843285,0
-1.508948,0.019263,1153.296000,0.826668,-1.295356,0.843287,0
-1.428690,-0.013081,1153.448000,0.587491,-1.279874,0.839245,0
-1.298266,-0.095267,1153.600000,0.580297,-1.255043,0.839458,0
-1.221780,-0.256421,1153.752000,0.881084,-1.235308,0.843286,0
-1.227466,-0.288849,1153.904000,1.128372,-1.211916,0.843286,0
-1.242551,-0.311011,1154.056000,1.204518,-1.211233,0.839326,0
-1.247326,-0.265941,1154.208000,0.933723,-1.208417,0.839378,0
-1.194152,-0.318444,1154.360000,0.864992,-1.192979,0.843286,0
-1.210982,-0.490867,1154.512000,1.024168,-1.181231,0.841340,0
-1.218598,-0.581512,1154.664000,1.226271,-1.195087,0.839364,0
-1.213254,-0.514962,1154.816000,1.131638,-1.211769,0.841267,0
-1.187479,-0.461114,1154.968000,0.934923,-1.233817,0.843285,0
-1.302648,-0.370790,1155.120000,0.709632,-1.264118,0.839473,0
-1.567356,-0.430380,1155.272000,0.608445,-1.313309,0.839231,0
-1.870326,-0.390770,1155.424000,0.619138,-1.367762,0.843287,0
-1.982440,-0.454784,1155.576000,0.779695,-1.387513,0.843285,0
-1.964974,-0.410541,1155.728000,1.009836,-1.414615,0.839557,0
-1.904808,-0.402117,1155.880000,0.960829,-1.471809,0.839147,0
-2.058602,-0.495593,1156.032000,0.932236,-1.510467,0.843287,0
-2.297723,-0.575834,1156.184000,1.029789,-1.491499,0.843285,0
-2.327015,-0.583953,1156.336000,1.293355,-1.431460,0.839637,0
-2.173469,-0.437269,1156.488000,1.390252,-1.396309,0.839067,0
-2.004217,-0.395772,1156.640000,1.430823,-1.403962,0.843288,0
-1.911378,-0.375880,1156.792000,1.288110,-1.388615,0.839675,0
-1.883533,-0.375320,1156.944000,1.133803,-1.379292,0.839003,0
-1.764204,-0.250532,1157.096000,0.900240,-1.351503,0.843288,0
-1.749072,-0.252633,1157.248000,0.782384,-1.386394,0.843284,0
-1.788429,-0.218528,1157.400000,0.756491,-1.382514,0.839784,0
-1.898215,-0.316743,1157.552000,0.620090,-1.388036,0.838919,0
-1.939751,-0.370121,1157.704000,0.531945,-1.313996,0.843289,0
-1.867567,-0.529168,1157.856000,0.888515,-1.266841,0.843283,0
-1.653171,-0.631416,1158.008000,1.233267,-1.279594,0.839868,0
-1.529319,-0.640768,1158.160000,1.358112,-1.308601,0.838836,0
-1.512067,-0.629914,1158.312000,1.158937,-1.320646,0.843289,0
-1.595900,-0.637978,1158.464000,1.002291,-1.339187,0.841581,0
-1.594859,-0.668219,1158.616000,1.117572,-1.384764,0.841009,0
-1.662922,-0.700265,1158.768000,1.299634,-1.413216,0.841602,0
-1.771938,-0.747868,1158.920000,1.546685,-1.413364,0.839360,0
-1.892951,-0.812223,1159.072000,1.803654,-1.418075,0.837730,0
-1.932852,-0.774571,1159.224000,1.739333,-1.445638,0.835438,0
-2.030141,-0.595125,1159.376000,1.591900,-1.465553,0.835447,0
-2.105932,-0.439625,1159.528000,1.337702,-1.420042,0.838650,0
-2.006579,-0.293085,1159.680000,1.249117,-1.335366,0.840095,0
-1.831773,-0.311316,1159.832000,1.150659,-1.302351,0.835437,0
-1.657957,-0.320632,1159.984000,1.211809,-1.324774,0.835447,0
-1.698009,-0.273640,1160.136000,1.090782,-1.355627,0.838566,0
-1.668644,-0.102035,1160.288000,1.015041,-1.317594,0.840176,0
-1.677792,-0.046116,1160.440000,0.808073,-1.098974,0.835436,0
-1.670329,-0.147672,1160.592000,0.895728,-0.859587,0.835448,0
-1.692514,-0.313197,1160.744000,1.016731,-0.422700,0.836941,0
-1.669339,-0.306896,1160.896000,1.167729,0.331566,0.839358,0
-1.616639,-0.282804,1161.048000,0.983886,1.253728,0.839370,0
-1.587338,-0.251608,1161.200000,1.006442,1.720013,0.836367,0
-1.645155,-0.167779,1161.352000,0.750358,1.409326,0.834499,0
-1.712397,-0.102247,1161.504000,0.680720,0.806383,0.839357,0
-1.589024,-0.066497,1161.656000,0.693182,0.203885,0.839371,0
-1.595484,-0.033680,1161.808000,0.794082,-0.424802,0.836447,0
-1.612684,-0.056542,1161.960000,0.784427,-0.874197,0.834420,0
-1.606177,-0.072957,1162.112000,0.689904,-1.079921,0.839357,0
-1.592220,-0.136780,1162.264000,0.826409,-1.079290,0.839371,0
-1.608318,-0.153843,1162.416000,1.071461,-1.042880,0.837924,0
-1.629562,-0.265179,1162.568000,1.189288,-1.034198,0.836819,0
-1.629081,-0.454976,1162.720000,1.427464,-1.059497,0.837944,0
-1.678234,-0.583112,1162.872000,1.732064,-0.943879,0.835434,0
-1.822894,-0.555902,1163.024000,1.623868,-0.582430,0.835450,0
-1.961700,-0.393830,1163.176000,1.273636,-0.079745,0.838157,0
-1.954328,-0.278281,1163.328000,0.823294,0.091555,0.840589,0
-1.773290,-0.327970,1163.480000,0.632101,-0.211663,0.835434,0
-1.574753,-0.366689,1163.632000,0.561595,-0.538514,0.835450,0
-1.468072,-0.307489,1163.784000,0.527190,-0.643241,0.838073,0
-1.520737,-0.195088,1163.936000,0.428746,-0.526450,0.840673,0
-1.655126,0.002176,1164.088000,0.448165,-0.354722,0.835433,0
-1.816979,0.183464,1164.240000,0.466592,-0.222506,0.835451,0
-1.933029,0.293007,1164.392000,0.684933,-0.198349,0.836713,0
-2.019546,0.205030,1164.544000,0.891651,0.015184,0.839373,0
-2.046323,-0.100407,1164.696000,1.269045,0.267028,0.838079,0
-2.010840,-0.169269,1164.848000,1.590675,0.055872,0.835432,0
-1.864585,-0.135241,1165.000000,1.371519,-0.311726,0.835452,0
-1.678713,-0.003798,1165.152000,1.081503,-0.442477,0.837888,0
-1.566076,0.065979,1165.304000,0.909611,-0.192938,0.840859,0
-1.560300,-0.020671,1165.456000,1.058022,0.104074,0.836623,0
-1.573201,0.023996,1165.608000,0.922170,0.085257,0.835747,0
-1.579270,-0.048040,1165.760000,0.750531,-0.137585,0.829959,0
-1.575115,0.045908,1165.912000,0.944012,-0.329792,0.835453,0
-1.618062,0.149069,1166.064000,1.141735,-0.424675,0.835431,0
-1.687242,0.301121,1166.216000,1.290808,-0.459458,0.833138,0
-1.720119,0.317414,1166.368000,1.087462,-0.500523,0.829877,0
-1.690891,0.304160,1166.520000,1.004025,-0.596312,0.835453,0
-1.601784,0.226066,1166.672000,0.768031,-0.784249,0.834290,0
-1.519486,0.282410,1166.824000,0.664225,-0.926857,0.831508,0
-1.470505,0.344694,1166.976000,0.705382,-0.932215,0.833743,0
-1.478448,0.322805,1167.128000,0.868741,-0.825608,0.837164,0
-1.512131,0.300917,1167.280000,0.894524,-0.696658,0.831533,0
-1.508263,0.221818,1167.432000,0.993248,-0.682138,0.831507,0
-1.459345,0.264979,1167.584000,0.881120,-0.711879,0.833660,0
-1.379480,0.252913,1167.736000,0.626366,-0.784224,0.837247,0
-1.311200,0.236284,1167.888000,0.347290,-0.900957,0.831534,0
-1.306383,0.320435,1168.040000,0.255887,-1.002936,0.831506,0
-1.309052,0.344328,1168.192000,0.493530,-1.053061,0.833582,0
-1.324284,0.322240,1168.344000,0.605669,-1.023956,0.836301,0
-1.277619,0.207409,1168.496000,0.893598,-1.004987,0.830577,0
-1.246315,0.123284,1168.648000,0.860458,-0.975227,0.837355,0
-1.236623,0.053066,1168.800000,0.603220,-0.950384,0.831506,0
-1.280255,0.072339,1168.952000,0.435005,-0.905584,0.833477,0
-1.262856,0.196236,1169.104000,0.485330,-0.876134,0.837430,0
-1.158819,0.224692,1169.256000,0.593144,-0.828913,0.831535,0
-1.044104,0.193473,1169.408000,0.593037,-0.766187,0.831505,0
-1.074641,0.190167,1169.560000,0.530930,-0.734898,0.833394,0
-1.269153,0.110176,1169.712000,0.432096,-0.810830,0.837513,0
-1.440929,-0.107589,1169.864000,0.279128,-0.930117,0.831536,0
-1.492839,-0.260258,1170.016000,0.374843,-0.998399,0.831504,0
-1.373874,-0.259753,1170.168000,0.662664,-0.987027,0.833311,0
-1.261955,-0.008441,1170.320000,0.983192,-0.987619,0.836702,0
-1.236370,0.065214,1170.472000,0.938650,-1.014047,0.829318,0
-1.282610,0.004027,1170.624000,0.512881,-0.998750,0.835457,0
-1.279690,-0.038338,1170.776000,0.263580,-0.917313,0.835427,0
-1.218747,-0.094602,1170.928000,0.463585,-0.813528,0.833783,0
-1.172262,-0.069142,1171.080000,0.867051,-0.789747,0.829234,0
-1.178792,-0.224331,1171.232000,1.178333,-0.815462,0.835457,0
-1.169945,-0.125893,1171.384000,1.198573,-0.821087,0.834609,0
-1.133202,-0.060212,1171.536000,1.076349,-0.746162,0.832286,0
-1.083716,0.201632,1171.688000,0.859732,-0.632621,0.835426,0
-1.072818,0.015207,1171.840000,0.760983,-0.600592,0.833910,0
-1.091141,0.147073,1171.992000,0.712978,-0.698747,0.829108,0
-1.114289,-0.063477,1172.144000,0.599684,-0.788721,0.835458,0
-1.125738,0.023748,1172.296000,0.514676,-0.764951,0.834671,0
-1.104283,-0.144980,1172.448000,0.781978,-0.673300,0.830032,0
-1.024622,-0.119628,1172.600000,0.802665,-0.631696,0.822247,0
-0.955873,-0.263311,1172.752000,0.583221,-0.682407,0.812954,0
-0.942222,-0.428786,1172.904000,0.296568,-0.671926,0.798764,0
-0.942501,-0.592690,1173.056000,0.138412,-0.516566,0.790191,0
-0.955431,-0.611294,1173.208000,0.052389,-0.330729,0.779882,0
-0.989578,-0.554600,1173.360000,0.053000,-0.193299,0.779266,0
-1.056807,-0.607273,1173.512000,0.204927,0.116394,0.789684,0
-1.092164,-0.571985,1173.664000,0.175168,0.893777,0.775926,0
-1.073858,-0.785638,1173.816000,0.089599,2.643848,0.772083,0
-1.011405,-0.947933,1173.968000,0.043102,3.885967,0.765578,0
-0.931803,-1.090296,1174.120000,0.178480,4.424076,0.746102,0
-0.859571,-0.987829,1174.272000,0.139808,4.784331,0.731919,0
-0.822670,-0.905271,1174.424000,-0.016483,4.920992,0.747571,0
-0.832117,-0.934029,1174.576000,-0.149938,4.755700,0.764405,0
-0.861058,-1.029152,1174.728000,-0.089661,4.598675,0.784422,0
-0.872000,-1.041257,1174.880000,0.025821,4.309306,0.785627,0
-0.871690,-1.094314,1175.032000,0.102686,4.230943,0.789471,0
-0.853678,-1.104506,1175.184000,0.130204,4.228698,0.775466,0
-0.844320,-0.975585,1175.336000,0.139269,4.690137,0.796574,0
-0.857536,-0.863094,1175.488000,0.219579,5.014479,0.831606,0
-0.908447,-0.781713,1175.640000,0.216406,5.301251,0.885089,0
-0.979654,-0.823686,1175.792000,0.219058,5.340499,0.901106,0
-1.009256,-0.858772,1175.944000,0.288861,5.094589,0.891292,0
-0.989740,-0.889874,1176.096000,0.399546,4.480648,0.863952,0
-0.926602,-0.996888,1176.248000,0.332229,3.899522,0.812460,0
-0.841497,-1.025617,1176.400000,0.160654,3.378047,0.787409,0
-0.763450,-0.976704,1176.552000,0.043725,3.269866,0.782849,0
-0.734121,-0.915395,1176.704000,0.005201,3.190301,0.801896,0
-0.779047,-0.868664,1176.856000,0.064275,3.405098,0.817597,0
-0.844535,-0.860422,1177.008000,0.035341,3.704438,0.833199,0
-0.889166,-0.924189,1177.160000,0.059449,4.071877,0.848883,0
-0.921678,-1.074580,1177.312000,-0.016627,4.805903,0.864504,0
-0.963368,-1.081001,1177.464000,0.045981,5.408234,0.880561,0
-1.006406,-0.936091,1177.616000,0.196996,5.912155,0.899348,0
-1.031041,-0.844618,1177.768000,0.388913,5.929353,0.910332,0
-1.052631,-0.854795,1177.920000,0.416130,5.981139,0.913527,0
-1.078619,-0.911941,1178.072000,0.376707,6.405030,0.909960,0
-1.128721,-0.823444,1178.224000,0.345362,6.983112,0.910308,0
-1.176843,-0.884664,1178.376000,0.460951,7.185122,0.913229,0
-1.203762,-0.891754,1178.528000,0.442825,7.201716,0.906687,0
-1.204007,-0.879261,1178.680000,0.354768,7.133946,0.913577,0
-1.207099,-0.816927,1178.832000,0.300722,7.218123,0.909659,0
-1.220476,-0.864081,1178.984000,0.278147,7.154531,0.906335,0
-1.252318,-0.951351,1179.136000,0.349795,6.888410,0.910240,0
-1.284318,-0.979892,1179.288000,0.384779,6.355570,0.913619,0
-1.317423,-0.982932,1179.440000,0.503677,5.866772,0.909960,0
-1.330534,-0.995350,1179.592000,0.774911,5.658409,0.909965,0
-1.301692,-0.986460,1179.744000,0.835655,5.698956,0.910198,0
-1.259115,-0.945968,1179.896000,0.749671,5.983467,0.913661,0
-1.223236,-0.969587,1180.048000,0.573984,6.203066,0.909742,0
-1.231700,-1.050601,1180.200000,0.649415,6.141317,0.906461,0
-1.264576,-1.095947,1180.352000,0.776105,6.000606,0.913693,0
-1.298610,-1.034111,1180.504000,0.697281,5.783796,0.909771,0
-1.333121,-1.001740,1180.656000,0.463425,5.766051,0.906401,0
-1.356175,-0.985827,1180.808000,0.375991,5.699555,0.913881,0
-1.367738,-1.110125,1180.960000,0.655753,5.752074,0.913733,0
-1.375648,-1.126873,1181.112000,1.038536,5.804132,0.909813,0
-1.395205,-1.110737,1181.264000,1.235413,5.637227,0.906181,0
-1.420385,-1.060697,1181.416000,1.068100,5.538783,0.909960,0
-1.434519,-0.998537,1181.568000,0.983470,5.671560,0.909972,0
-1.434121,-0.991253,1181.720000,0.939591,5.904647,0.910064,0
-1.462160,-0.939478,1181.872000,0.990117,5.596383,0.913795,0
-1.512516,-0.921637,1182.024000,0.963137,5.290563,0.909959,0
-1.552126,-0.924225,1182.176000,1.088295,5.360095,0.910040,0
-1.562281,-0.968582,1182.328000,1.026883,5.721759,0.913828,0
-1.548386,-1.039004,1182.480000,0.756551,5.601113,0.909905,0
-1.535656,-1.137616,1182.632000,0.511350,5.024654,0.906179,0
-1.550868,-1.133290,1182.784000,0.791699,4.683255,0.917766,0
-1.583819,-1.043906,1182.936000,1.170792,4.601540,0.913867,0
-1.605795,-1.001674,1183.088000,1.252468,4.696335,0.909971,0
-1.604658,-1.072843,1183.240000,1.059553,4.824400,0.913894,0
-1.610166,-1.124733,1183.392000,0.864816,4.990703,0.917791,0
-1.607482,-1.079234,1183.544000,0.978160,5.171587,0.913908,0
-1.540534,-1.047696,1183.696000,0.988012,5.160072,0.913880,0
-1.417048,-1.140311,1183.848000,0.936788,5.049415,0.913891,0
-1.341702,-1.146939,1184.000000,0.865716,4.961881,0.917749,0
-1.373579,-1.101808,1184.152000,0.800344,4.807500,0.913949,0
-1.469565,-1.005180,1184.304000,0.775663,4.741384,0.911960,0
-1.557036,-1.088258,1184.456000,0.701986,4.697492,0.909999,0
-1.584192,-1.053057,1184.608000,0.653339,5.044652,0.917641,0
-1.558663,-1.003245,1184.760000,0.636318,5.425718,0.910161,0
-1.511009,-0.944472,1184.912000,0.521917,5.609193,0.913781,0
-1.500613,-1.004526,1185.064000,0.503141,5.387229,0.917679,0
-1.536980,-1.116497,1185.216000,0.474716,4.841686,0.917812,0
-1.596750,-1.076515,1185.368000,0.553102,4.489407,0.910244,0
-1.671688,-1.011941,1185.520000,0.726858,4.421971,0.913739,0
-1.744603,-0.966773,1185.672000,1.028557,4.483770,0.917637,0
-1.786389,-1.025470,1185.824000,1.190601,4.390214,0.914062,0
-1.791068,-1.049455,1185.976000,1.340014,4.102066,0.912017,0
-1.801154,-1.038565,1186.128000,1.323337,3.824546,0.910056,0
-1.860081,-1.030226,1186.280000,1.361345,3.672318,0.913685,0
-1.937921,-1.088420,1186.432000,1.275823,3.556976,0.917586,0
-1.962706,-1.148391,1186.584000,1.153231,3.535071,0.914116,0
-1.934045,-1.142588,1186.736000,1.027779,3.537527,0.910195,0
-1.912835,-1.090676,1186.888000,1.045118,3.508606,0.917325,0
-1.958587,-1.059323,1187.040000,1.176767,3.471912,0.917801,0
-2.035101,-1.064016,1187.192000,1.506417,3.485887,0.914154,0
-2.068667,-1.002592,1187.344000,1.536080,3.640804,0.910236,0
-2.036965,-1.026818,1187.496000,1.600526,3.731110,0.913605,0
-1.992156,-1.098811,1187.648000,1.520378,3.704827,0.917503,0
-1.979604,-1.177603,1187.800000,1.427783,3.597473,0.914196,0
-2.000308,-1.160789,1187.952000,1.330804,3.569642,0.915688,0
-2.014755,-1.153534,1188.104000,1.241159,3.678468,0.917637,0
-1.991133,-1.193429,1188.256000,1.083355,3.906592,0.914228,0
-1.915893,-1.218755,1188.408000,0.888451,3.930411,0.917453,0
-1.831878,-1.165696,1188.560000,0.769930,3.416519,0.921392,0
-1.843064,-1.170447,1188.712000,0.777533,2.772190,0.918171,0
-1.954139,-1.204073,1188.864000,0.703322,2.457796,0.921359,0
-2.038576,-1.211977,1189.016000,0.595724,2.623540,0.918190,0
-1.980140,-1.175731,1189.168000,0.494352,2.849396,0.914288,0
-1.807069,-1.041345,1189.320000,0.576035,2.965950,0.917391,0
-1.676994,-1.000638,1189.472000,0.750574,3.076932,0.921317,0
-1.671165,-1.008991,1189.624000,0.990940,3.306180,0.918232,0
-1.732358,-1.112686,1189.776000,1.073580,3.384017,0.914329,0
-1.782574,-1.145483,1189.928000,1.171376,3.187906,0.920834,0
-1.796098,-1.101440,1190.080000,1.138756,2.848314,0.918263,0
-1.796342,-1.034904,1190.232000,0.937065,2.626104,0.914362,0
-1.806093,-1.053960,1190.384000,0.812514,2.516335,0.917320,0
-1.820842,-1.100337,1190.536000,0.904071,2.232104,0.921257,0
-1.805886,-1.106577,1190.688000,1.048426,1.929893,0.918306,0
-1.737215,-1.043747,1190.840000,1.010598,1.911086,0.921222,0
-1.640332,-0.991688,1190.992000,0.952232,2.264867,0.918325,0
-1.554226,-1.012250,1191.144000,1.083721,2.517210,0.914421,0
-1.548944,-1.083767,1191.296000,1.344990,2.482139,0.917258,0
-1.662412,-1.111212,1191.448000,1.469157,2.387106,0.921182,0
-1.801067,-1.005992,1191.600000,1.511166,2.243904,0.918366,0
-1.821163,-0.812496,1191.752000,1.456286,1.938993,0.914463,0
-1.663158,-0.765940,1191.904000,1.376093,1.516956,0.920566,0
-1.451153,-0.817034,1192.056000,1.417493,1.121692,0.918397,0
-1.309912,-0.786554,1192.208000,1.431961,0.858441,0.914495,0
-1.254514,-0.606957,1192.360000,1.362473,0.738416,0.917186,0
-1.252871,-0.470400,1192.512000,1.176061,0.700491,0.924403,0
-1.270175,-0.462125,1192.664000,0.938970,0.628690,0.919075,0
-1.273545,-0.437290,1192.816000,0.615041,0.487953,0.914536,0
-1.229351,-0.333907,1192.968000,0.067202,0.370832,0.917144,0
-1.170478,-0.275884,1193.120000,-0.501381,0.443870,0.921069,0
-1.137842,-0.319851,1193.272000,-0.783338,0.838015,0.918480,0
-1.147491,-0.420706,1193.424000,-0.674797,1.336267,0.914575,0
-1.176219,-0.510762,1193.576000,-0.353869,1.584693,0.920340,0
-1.188763,-0.572174,1193.728000,-0.021306,1.557329,0.922804,0
-1.177242,-0.656805,1193.880000,0.317285,1.549802,0.924103,0
-1.161725,-0.724035,1194.032000,0.526466,1.520008,0.925401,0
-1.155545,-0.789049,1194.184000,0.514721,1.162666,0.922475,0
-1.155162,-0.799343,1194.336000,0.358411,0.606840,0.918552,0
-1.157727,-0.745563,1194.488000,0.245180,0.213380,0.920974,0
-1.166989,-0.627914,1194.640000,0.225417,0.118867,0.924876,0
-1.171659,-0.557858,1194.792000,0.284222,0.159127,0.925656,0
-1.149781,-0.533757,1194.944000,0.467447,0.051938,0.919385,0
-1.107588,-0.535940,1195.096000,0.661189,-0.263260,0.920934,0
-1.066326,-0.626601,1195.248000,0.598805,-0.522610,0.924835,0
-1.044886,-0.763453,1195.400000,0.279566,-0.498460,0.922555,0
-1.048485,-0.854679,1195.552000,0.191897,-0.283714,0.920962,0
-1.063965,-0.805132,1195.704000,0.460116,-0.138739,0.919980,0
-1.061788,-0.733155,1195.856000,0.711643,-0.235769,0.918998,0
-1.038584,-0.717584,1196.008000,0.666203,-0.404603,0.918016,0
-1.023715,-0.714457,1196.160000,0.415796,-0.427083,0.920860,0
-1.037689,-0.644992,1196.312000,0.277567,-0.313120,0.924764,0
-1.069408,-0.553812,1196.464000,0.290138,-0.226034,0.922628,0
-1.094095,-0.475664,1196.616000,0.426171,-0.349587,0.918707,0
-1.101849,-0.434996,1196.768000,0.578389,-0.618831,0.920821,0
-1.101196,-0.406503,1196.920000,0.614747,-0.831380,0.924725,0
-1.099521,-0.382270,1197.072000,0.515306,-0.917575,0.922667,0
-1.096275,-0.357597,1197.224000,0.433730,-0.924177,0.918746,0
-1.088824,-0.339077,1197.376000,0.607174,-0.894189,0.920780,0
-1.083798,-0.386940,1197.528000,0.826355,-0.840384,0.927640,0
-1.123879,-0.494905,1197.680000,0.837158,-0.682516,0.923683,0
-1.211734,-0.620523,1197.832000,0.682489,-0.405908,0.920264,0
-1.289040,-0.694195,1197.984000,0.559374,-0.172452,0.918300,0
-1.298095,-0.751663,1198.136000,0.537219,-0.212321,0.920728,0
