x,y,z
2.841672778,0.375269167,-0.498898076
3.230673661,1.374165087,-0.114548205
2.159437642,-0.217277579,0.208763167
1.444161242,-0.14341341,-0.153233888
1.78129481,-0.499901681,-0.172875189
3.076499932,0.688085678,-0.335592292
2.144243314,0.140064201,0.734878937
1.905098149,0.049300526,0.162180236
1.169326339,-0.164990262,0.28183584
2.107611143,0.372287872,0.027291132
2.314154705,0.183651279,0.322693747
1.922267801,0.409203467,0.113586596
1.415235877,-0.574916348,0.296322527
2.563013375,0.277862603,0.292569525
2.418746183,0.304798198,0.504482664
1.944109795,0.187532303,0.177825091
1.527166615,-0.375316983,-0.121898172
1.764345717,0.078858855,0.130481631
1.900941614,0.116627959,0.723251563
1.390188862,-0.282660938,0.362909648
